ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,Ministro,NEYRA SANCHEZ ALEJANDRO ARTURO,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=47620&llave=OWGLSBMI&idet=1
MINISTERIO DE CULTURA (CULTURA) VER TODAS LAS DJIS,MINISTRA,DE REPARAZ ZAMORA MARIA DEL CARMEN ANGELICA,null,null
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,MINISTRA DE DESARROLLO E INCLUSION SOCIAL,LA ROSA HUERTAS LILIANA DEL CARMEN,FIRMADA 18/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=12984&llave=B8NLADVK&idet=1
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,Ministra,BUSTAMANTE SUAREZ PAOLA,FIRMADA 30/10/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21500&llave=DDOHBYUJ&idet=1
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,MINISTRO,MELENDEZ CELIS JORGE ENRIQUE,FIRMADA 04/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=47224&llave=WONL1M5I&idet=1
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,Ministra,LUNA FLOREZ ARIELA MARIA DE LOS MILAGROS,FIRMADA 29/07/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=23238&llave=GYXL5TGP&idet=2
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,MINISTRA DE DESARROLLO E INCLUSIÓN SOCIAL,DONAYRE PASQUEL PATRICIA ELIZABETH,FIRMADA 11/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=41321&llave=GEURHCKW&idet=1
MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL (MIDIS) VER TODAS LAS DJIS,MINISTRO,TONG HURTADO TEODORO FEDERICO,FIRMADA 03/09/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=15587&llave=7TYF9LOZ&idet=1
MINISTERIO DEL AMBIENTE (MINAM) VER TODAS LAS DJIS,Ministra,MUÑOZ DODERO FABIOLA MARTHA,FIRMADA 04/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21842&llave=RE1GWEN8&idet=2
MINISTERIO DEL AMBIENTE (MINAM) VER TODAS LAS DJIS,Ministra del Ambiente,RUIZ OSTOIC LUCIA DELFINA,FIRMADA 04/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20120&llave=6AXEJIRS&idet=2
MINISTERIO DEL AMBIENTE (MINAM) VER TODAS LAS DJIS,MINISTRA,ECHEGARAY ALFARO KIRLA,FIRMADA 12/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20814&llave=B9GS2EQP&idet=3
